"time_stamp","size","size_on_disk"
1534227591.3004477,800112,15783166723
1534227686.488084,800112,16125190818
1534227247.1302137,800112,14497636868
1534227757.7449648,800112,16376792126
1534227557.8594537,800112,15661296288
1534227465.0165691,800112,15319277119
1534227325.287697,800112,14796417534
1534227251.2751513,800112,14513361346
1534227654.549991,800112,16011180303
1534227516.3486166,800112,15507975753
1534227732.1570745,800112,16286372875
1534227739.001263,800112,16309959829
1534227244.0823064,800112,14485842883
1534227634.838812,800112,15940418101
1534227314.9525924,800112,14757103768
1534227417.1306362,800112,15142368564
1534227458.5901058,800112,15295689565
1534227351.492913,800112,14894700783
1534227229.7567198,800112,14430803005
1534227439.4557102,800112,15224926865
1534227622.848898,800112,15897173234
1534227535.4638567,800112,15578739669
1534227729.921921,800112,16278509949
1534227420.3442087,800112,15154161961
1534227576.148001,800112,15728128981
1534227685.3896081,800112,16121260201
1534227375.4452558,800112,14985119422
1534227703.106844,800112,16184161393
1534227567.5238192,800112,15696678185
1534227534.4069843,800112,15574808534
1534227323.1997633,800112,14788554362
1534227625.0309827,800112,15905036238
1534227369.156107,800112,14961531592
1534227355.7191105,800112,14910426511
1534227669.9661243,800112,16066220335
1534227485.3530402,800112,15393970844
1534227298.3516994,800112,14694202554
1534227469.2723382,800112,15335001929
1534227521.6638436,800112,15527632154
1534227500.3899035,800112,15449008516
1534227566.43641,800112,15692746752
1534227523.7932403,800112,15535494514
1534227394.1040857,800112,15055883176
1534227344.1442482,800112,14867182480
1534227710.8923855,800112,16211679980
1534227466.077597,800112,15323208304
1534227300.4314206,800112,14702065286
1534227737.890832,800112,16306029060
1534227556.791116,800112,15657364633
1534227611.882445,800112,15857860412
1534227599.9964378,800112,15814615753
1534227615.156523,800112,15869654389
1534227269.679282,800112,14584125340
1534227335.7642286,800112,14835732946
1534227578.3040187,800112,15735990689
1534227400.3854482,800112,15079471214
1534227254.3555188,800112,14525155371
1534227329.4619315,800112,14812142866
1534227750.028512,800112,16349273087
1534227744.5285084,800112,16329616808
1534227231.838474,800112,14438665049
1534227292.0846443,800112,14670614334
1534227529.0959694,800112,15555151483
1534227674.3785594,800112,16081945565
1534227232.848444,800112,14442596892
1534227537.596977,800112,15586602199
1534227708.6579223,800112,16203817830
1534227741.2195337,800112,16317822653
1534227398.2950459,800112,15071608866
1534227427.7513866,800112,15181681994
1534227544.002406,800112,15610190445
1534227584.8128622,800112,15759579431
1534227409.7437375,800112,15114850421
1534227236.9057558,800112,14458322774
1534227293.123721,800112,14674545941
1534227484.2734883,800112,15390039865
1534227653.4591362,800112,16007249324
1534227379.5657563,800112,15000844388
1534227442.6326635,800112,15236721174
1534227363.9692178,800112,14941875691
1534227282.8714106,800112,14635232855
1534227695.3395803,800112,16156641888
1534227734.3949594,800112,16294235337
1534227330.4940255,800112,14816074481
1534227381.6302652,800112,15008707022
1534227536.530543,800112,15582670800
1534227658.9634213,800112,16026906371
1534227446.8712757,800112,15252446052
1534227387.8613734,800112,15032295524
1534227235.8904712,800112,14454390897
1534227558.92174,800112,15665227785
1534227385.7758155,800112,15024432308
1534227704.207504,800112,16188092704
1534227509.9810762,800112,15484388037
1534227715.3566544,800112,16227403832
1534227295.20492,800112,14682408063
1534227660.0612075,800112,16030837836
1534227614.0716927,800112,15865722452
1534227683.1965802,800112,16113397389
